filename,memberCode,status,message
"4b8646eb-d5ab-4550-8dc6-25a182df6204.jfif","","skipped","No recognizable L-/T- member code in filename."
"L-002.jpg","L-002","uploaded","Profile photo uploaded successfully."
"L-003.jpg","L-003","uploaded","Profile photo uploaded successfully."
"L-004.jpg","L-004","uploaded","Profile photo uploaded successfully."
"L-005.jpg","L-005","uploaded","Profile photo uploaded successfully."
"L-007.jpg","L-007","uploaded","Profile photo uploaded successfully."
"L-009.jfif","L-009","uploaded","Profile photo uploaded successfully."
"L-009.jpg","L-009","skipped","Duplicate member code; selected L-009.jfif."
"L-010.jfif","L-010","uploaded","Profile photo uploaded successfully."
"L-011.jfif","L-011","uploaded","Profile photo uploaded successfully."
"L-012.jpg","L-012","uploaded","Profile photo uploaded successfully."
"L-013.jfif","L-013","failed","<!DOCTYPE html>
<!--[if lt IE 7]> <html class=""no-js ie6 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 7]>    <html class=""no-js ie7 oldie"" lang=""en-US""> <![endif]-->
<!--[if IE 8]>    <html class=""no-js ie8 oldie"" lang=""en-US""> <![endif]-->
<!--[if gt IE 8]><!--> <html class=""no-js"" lang=""en-US""> <!"
"L-016.jpg","L-016","uploaded","Profile photo uploaded successfully."
"L-018.jpg","L-018","uploaded","Profile photo uploaded successfully."
"L-019.jpg","L-019","uploaded","Profile photo uploaded successfully."
"L-023.jpg","L-023","uploaded","Profile photo uploaded successfully."
"L-025.jpg","L-025","uploaded","Profile photo uploaded successfully."
"L-026.jpg","L-026","uploaded","Profile photo uploaded successfully."
"L-029.jpg","L-029","uploaded","Profile photo uploaded successfully."
"L-033.jpg","L-033","uploaded","Profile photo uploaded successfully."
"L-035.jfif","L-035","uploaded","Profile photo uploaded successfully."
"L-037.jpg","L-037","uploaded","Profile photo uploaded successfully."
"L-039.jpg","L-039","uploaded","Profile photo uploaded successfully."
"L-040.jfif","L-040","uploaded","Profile photo uploaded successfully."
"L-044.jpg","L-044","uploaded","Profile photo uploaded successfully."
"L-047.jpg","L-047","uploaded","Profile photo uploaded successfully."
"L-048.jpg","L-048","uploaded","Profile photo uploaded successfully."
"L-050.jpg","L-050","uploaded","Profile photo uploaded successfully."
"L-051.jpg","L-051","uploaded","Profile photo uploaded successfully."
"L-053.jpg","L-053","uploaded","Profile photo uploaded successfully."
"L-054.jfif","L-054","uploaded","Profile photo uploaded successfully."
"L-057.jpg","L-057","uploaded","Profile photo uploaded successfully."
"L-058.jpg","L-058","uploaded","Profile photo uploaded successfully."
"L-060.jpg","L-060","uploaded","Profile photo uploaded successfully."
"L-063.jfif","L-063","not-found","No member with this member code exists."
"L-064.jpg","L-064","uploaded","Profile photo uploaded successfully."
"L-070.jfif","L-070","uploaded","Profile photo uploaded successfully."
"L-071.jpg","L-071","uploaded","Profile photo uploaded successfully."
"L-072.jpeg","L-072","uploaded","Profile photo uploaded successfully."
"L-072.jpg","L-072","skipped","Duplicate member code; selected L-072.jpeg."
"L-076.jfif","L-076","uploaded","Profile photo uploaded successfully."
"L-083.jpg","L-083","uploaded","Profile photo uploaded successfully."
"L-087.jfif","L-087","uploaded","Profile photo uploaded successfully."
"L-088.jpeg","L-088","uploaded","Profile photo uploaded successfully."
"L-089.jpg","L-089","uploaded","Profile photo uploaded successfully."
"L-090.png","L-090","uploaded","Profile photo uploaded successfully."
